period_name,start_date,end_date,observations,portfolio_name,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
2013-2016,2013-02-05,2016-12-30,985,walkforward_hmm_regime_strategy,0.41039990272048454,0.09196159019692929,0.07662087044148647,1.186747602048856,-0.07843975481964871
2013-2016,2013-02-05,2016-12-30,985,kmeans_regime_strategy,0.20755179181643557,0.04943264980072937,0.06911242961739711,0.7327785083338377,-0.10380599970851812
2013-2016,2013-02-05,2016-12-30,985,equal_weight_4_asset,0.09625767263793028,0.023790638590152957,0.07047883577559755,0.36890350633994495,-0.0953862190716187
2013-2016,2013-02-05,2016-12-30,985,fixed_60_40_stock_bond,0.410065536202187,0.09189535474574728,0.07318482414679908,1.2381052661267054,-0.07282168395682342
2017-2019,2017-01-03,2019-12-31,754,walkforward_hmm_regime_strategy,0.40746281003351537,0.12101189272062074,0.06880697144628121,1.6950178288424622,-0.0901760227012296
2017-2019,2017-01-03,2019-12-31,754,kmeans_regime_strategy,0.34245982346649995,0.1034352473672524,0.057078748195075905,1.7533274140642978,-0.06474261110143054
2017-2019,2017-01-03,2019-12-31,754,equal_weight_4_asset,0.2986470379775614,0.09126624606860023,0.05403321813730453,1.6436873103274534,-0.053023342245579475
2017-2019,2017-01-03,2019-12-31,754,fixed_60_40_stock_bond,0.38670344277605895,0.11545846264112081,0.07179360996645302,1.5582051512083694,-0.10931357220991955
2020-2022,2020-01-02,2022-12-30,756,walkforward_hmm_regime_strategy,0.06092802877654546,0.019910292244000427,0.13607323057605727,0.21307949659388334,-0.25096929183652184
2020-2022,2020-01-02,2022-12-30,756,kmeans_regime_strategy,-0.2568971043351681,-0.09423336709780794,0.12229315364469769,-0.7475909625884315,-0.32366979737032
2020-2022,2020-01-02,2022-12-30,756,equal_weight_4_asset,0.042949810278548384,0.014116393199302912,0.1024457911003944,0.188101804202041,-0.2163358883048433
2020-2022,2020-01-02,2022-12-30,756,fixed_60_40_stock_bond,0.10143556255205444,0.03272898166491722,0.1483093928456451,0.2915019574425041,-0.2409099528457841
2023-2026,2023-01-03,2026-04-20,826,walkforward_hmm_regime_strategy,0.538937727450477,0.1405603908220867,0.10181486047992566,1.342915044611259,-0.11593498080903897
2023-2026,2023-01-03,2026-04-20,826,kmeans_regime_strategy,0.5526443971838817,0.14365004837973339,0.09090117649530563,1.5224577590773631,-0.11095684204074086
2023-2026,2023-01-03,2026-04-20,826,equal_weight_4_asset,0.5735761232875733,0.14833195790442266,0.09184390193817739,1.5522456416639907,-0.09631376132066638
2023-2026,2023-01-03,2026-04-20,826,fixed_60_40_stock_bond,0.5386339761871741,0.14049170523552257,0.10404805161479443,1.315655249244327,-0.11647554041236285
